graph_id,edge_list
graph_0,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 11), (0, 12), (0, 13), (0, 14), (0, 16), (0, 17), (0, 20), (0, 22), (0, 23), (1, 4), (1, 5), (1, 12), (1, 15), (1, 18), (1, 24), (1, 25), (2, 4), (2, 5), (2, 14), (2, 15), (2, 18), (2, 19), (2, 23), (3, 4), (3, 5), (3, 7), (3, 10), (3, 12), (3, 13), (3, 22), (4, 6), (4, 8), (4, 11), (4, 14), (4, 18), (4, 23), (4, 34), (4, 35), (5, 6), (5, 8), (5, 17), (5, 20), (5, 28), (6, 8), (6, 14), (6, 15), (6, 16), (6, 19), (6, 22), (6, 23), (7, 8), (7, 9), (7, 13), (7, 14), (7, 15), (7, 22), (7, 23), (7, 27), (7, 30), (7, 33), (7, 36), (8, 15), (8, 17), (8, 18), (8, 38), (9, 11), (9, 17), (9, 24), (9, 29), (10, 12), (10, 13), (10, 18), (10, 34), (10, 37), (11, 21), (11, 23), (11, 34), (12, 13), (12, 23), (12, 24), (13, 14), (13, 17), (13, 20), (13, 21), (13, 29), (13, 31), (14, 15), (14, 16), (14, 20), (14, 22), (14, 31), (15, 16), (15, 30), (15, 33), (15, 39), (16, 17), (16, 18), (16, 22), (16, 24), (17, 24), (18, 19), (18, 20), (18, 23), (18, 26), (18, 33), (19, 21), (19, 31), (19, 34), (20, 27), (21, 23), (21, 24), (21, 28), (22, 23), (22, 29), (22, 33), (22, 35), (23, 30), (24, 26), (24, 29), (24, 32), (25, 33), (26, 30), (26, 37), (27, 30), (29, 30), (31, 41), (36, 37), (39, 40)"
graph_1,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 11), (0, 12), (0, 13), (0, 16), (0, 17), (0, 18), (0, 21), (0, 22), (0, 23), (1, 2), (1, 3), (1, 5), (1, 6), (1, 7), (1, 11), (1, 12), (1, 24), (1, 26), (1, 27), (1, 30), (2, 3), (2, 6), (2, 8), (2, 9), (2, 14), (2, 15), (2, 18), (2, 24), (2, 25), (2, 31), (3, 4), (3, 6), (3, 7), (3, 9), (3, 10), (3, 15), (3, 19), (3, 24), (3, 27), (4, 5), (4, 6), (4, 8), (4, 24), (4, 28), (5, 10), (5, 14), (6, 7), (6, 10), (6, 13), (6, 14), (6, 16), (6, 20), (6, 26), (6, 29), (7, 8), (7, 12), (7, 19), (7, 21), (7, 32), (8, 10), (8, 13), (8, 16), (8, 17), (8, 24), (8, 28), (8, 30), (8, 37), (9, 10), (9, 12), (9, 15), (9, 21), (9, 23), (9, 24), (9, 34), (10, 11), (10, 13), (10, 14), (10, 15), (10, 17), (10, 21), (10, 24), (10, 34), (10, 43), (11, 14), (11, 27), (11, 35), (12, 13), (12, 14), (12, 21), (12, 23), (12, 24), (12, 29), (13, 15), (13, 16), (13, 17), (13, 18), (13, 19), (14, 19), (14, 21), (14, 22), (14, 37), (14, 41), (15, 16), (15, 22), (15, 23), (15, 24), (15, 26), (16, 17), (16, 22), (16, 24), (16, 31), (16, 32), (17, 19), (17, 27), (17, 28), (17, 42), (18, 21), (18, 28), (18, 30), (19, 21), (19, 25), (19, 27), (19, 30), (20, 27), (20, 29), (21, 24), (21, 27), (21, 32), (21, 39), (22, 24), (22, 26), (23, 28), (24, 25), (24, 26), (24, 28), (24, 29), (25, 26), (25, 41), (26, 28), (27, 28), (28, 32), (28, 43), (29, 30), (29, 34), (31, 34), (32, 35), (35, 36), (39, 44)"
graph_2,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 19), (0, 21), (0, 23), (0, 28), (0, 31), (1, 4), (1, 5), (1, 7), (1, 16), (1, 19), (1, 20), (1, 23), (2, 7), (2, 8), (2, 9), (2, 10), (2, 12), (2, 19), (2, 21), (2, 30), (2, 34), (3, 4), (3, 6), (3, 8), (3, 9), (3, 13), (3, 17), (3, 24), (3, 27), (4, 6), (4, 7), (4, 8), (4, 11), (4, 16), (4, 20), (4, 21), (4, 32), (5, 7), (5, 8), (5, 11), (5, 17), (5, 18), (5, 20), (5, 22), (5, 25), (5, 32), (5, 33), (6, 7), (6, 9), (6, 11), (6, 18), (6, 22), (7, 9), (7, 10), (7, 17), (7, 20), (7, 23), (7, 24), (7, 29), (7, 32), (8, 11), (8, 12), (8, 18), (8, 31), (8, 32), (9, 12), (9, 13), (9, 14), (9, 20), (9, 21), (9, 23), (9, 25), (9, 27), (9, 36), (10, 14), (10, 20), (11, 12), (11, 13), (11, 18), (11, 25), (11, 28), (11, 34), (12, 13), (12, 18), (12, 21), (12, 33), (13, 15), (13, 20), (13, 30), (14, 15), (14, 16), (14, 18), (14, 19), (14, 20), (14, 27), (15, 28), (16, 25), (17, 20), (17, 22), (17, 28), (17, 30), (18, 30), (19, 20), (19, 21), (19, 23), (19, 26), (19, 36), (20, 25), (20, 26), (20, 43), (21, 22), (21, 29), (21, 30), (22, 27), (22, 29), (22, 30), (22, 38), (23, 24), (23, 32), (23, 34), (24, 25), (24, 30), (25, 28), (25, 33), (26, 27), (26, 32), (31, 32), (37, 38)"
graph_3,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 7), (0, 8), (0, 9), (0, 10), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (0, 24), (0, 25), (0, 32), (1, 4), (1, 7), (1, 9), (1, 15), (1, 23), (1, 32), (2, 6), (2, 7), (2, 8), (2, 17), (2, 26), (3, 6), (3, 8), (3, 9), (3, 10), (3, 13), (3, 21), (3, 22), (4, 5), (4, 6), (4, 9), (4, 11), (4, 16), (4, 17), (4, 22), (5, 8), (5, 9), (5, 10), (5, 11), (5, 21), (5, 28), (5, 29), (5, 37), (6, 11), (6, 15), (6, 18), (6, 33), (7, 9), (7, 18), (7, 20), (7, 21), (7, 23), (8, 9), (8, 10), (8, 12), (8, 19), (8, 33), (9, 13), (9, 19), (10, 12), (10, 14), (10, 15), (10, 17), (10, 18), (11, 25), (11, 28), (12, 15), (12, 18), (12, 24), (12, 33), (12, 39), (13, 14), (13, 15), (13, 16), (13, 29), (13, 31), (13, 35), (14, 17), (14, 20), (14, 21), (14, 25), (14, 39), (15, 19), (15, 21), (16, 18), (16, 19), (16, 22), (16, 38), (17, 21), (17, 25), (17, 32), (17, 36), (18, 19), (18, 20), (18, 21), (18, 27), (18, 36), (19, 22), (19, 29), (20, 27), (20, 29), (21, 23), (21, 26), (22, 23), (22, 28), (22, 35), (23, 25), (23, 27), (23, 37), (24, 25), (24, 29), (32, 34), (36, 37), (41, 42)"
graph_4,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 19), (0, 22), (0, 23), (0, 26), (1, 2), (1, 4), (1, 5), (1, 7), (1, 9), (1, 10), (1, 13), (1, 19), (1, 22), (1, 25), (1, 27), (1, 34), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 11), (2, 14), (2, 19), (2, 20), (2, 24), (2, 30), (2, 35), (2, 39), (2, 40), (3, 5), (3, 6), (3, 9), (3, 10), (3, 16), (3, 19), (3, 21), (3, 22), (3, 35), (4, 6), (4, 8), (4, 9), (4, 11), (4, 15), (4, 16), (4, 22), (4, 23), (5, 10), (5, 15), (5, 21), (5, 32), (5, 34), (6, 10), (6, 11), (6, 13), (6, 20), (6, 25), (6, 45), (7, 9), (7, 14), (7, 15), (7, 23), (7, 25), (7, 30), (8, 14), (8, 17), (8, 18), (8, 21), (8, 25), (8, 28), (9, 14), (9, 16), (9, 17), (9, 22), (9, 34), (10, 11), (10, 13), (10, 20), (11, 20), (11, 22), (12, 14), (12, 15), (12, 16), (12, 21), (12, 25), (12, 33), (12, 40), (13, 17), (14, 16), (14, 18), (14, 19), (14, 25), (14, 31), (15, 16), (15, 20), (15, 21), (15, 24), (15, 26), (15, 27), (16, 22), (16, 23), (16, 31), (17, 18), (17, 19), (17, 22), (18, 30), (18, 33), (19, 20), (19, 22), (19, 23), (20, 21), (20, 27), (20, 29), (20, 31), (20, 32), (21, 23), (21, 25), (21, 26), (21, 35), (21, 36), (22, 33), (23, 25), (23, 27), (23, 28), (23, 34), (23, 35), (24, 25), (24, 26), (24, 27), (24, 31), (24, 32), (25, 28), (25, 29), (25, 32), (26, 28), (26, 35), (26, 42), (28, 30), (28, 31), (29, 32), (32, 33), (35, 36), (36, 37)"
graph_5,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 12), (0, 15), (0, 18), (0, 19), (0, 22), (0, 26), (0, 27), (0, 28), (0, 34), (1, 5), (1, 8), (1, 10), (1, 12), (1, 13), (1, 29), (2, 3), (2, 4), (2, 9), (2, 10), (2, 13), (2, 14), (2, 20), (2, 26), (2, 28), (2, 33), (3, 4), (3, 5), (3, 7), (3, 8), (3, 9), (3, 18), (3, 19), (3, 29), (4, 5), (4, 6), (4, 12), (4, 20), (4, 28), (4, 36), (4, 37), (5, 10), (5, 16), (5, 18), (5, 20), (5, 21), (5, 25), (5, 29), (6, 7), (6, 8), (6, 20), (6, 25), (6, 26), (6, 27), (6, 44), (7, 12), (7, 16), (7, 18), (7, 19), (7, 27), (7, 30), (8, 9), (8, 10), (8, 13), (8, 14), (8, 15), (8, 16), (8, 17), (8, 20), (8, 30), (8, 37), (8, 40), (9, 11), (9, 13), (9, 14), (9, 27), (9, 30), (10, 12), (10, 13), (10, 14), (10, 15), (10, 17), (10, 22), (11, 15), (11, 18), (11, 20), (11, 23), (11, 26), (11, 27), (12, 17), (12, 22), (12, 24), (12, 29), (12, 31), (13, 14), (13, 24), (13, 25), (13, 28), (14, 16), (14, 25), (15, 16), (15, 19), (15, 28), (16, 24), (17, 21), (17, 22), (17, 24), (17, 27), (18, 21), (18, 25), (18, 26), (18, 31), (19, 24), (19, 34), (20, 21), (20, 25), (20, 28), (20, 32), (22, 24), (22, 35), (23, 24), (23, 31), (23, 40), (24, 28), (24, 39), (25, 32), (25, 33), (26, 28), (26, 29), (26, 30), (26, 36), (27, 44), (28, 29), (28, 31), (28, 38), (29, 33), (29, 34), (30, 33), (32, 34), (32, 37), (33, 36), (34, 36), (34, 43)"
graph_6,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 19), (0, 20), (0, 23), (0, 28), (1, 3), (1, 13), (1, 16), (1, 18), (1, 21), (1, 25), (1, 27), (1, 31), (1, 32), (2, 3), (2, 4), (2, 6), (2, 7), (2, 9), (2, 14), (2, 18), (2, 19), (2, 26), (2, 27), (2, 32), (2, 35), (3, 4), (3, 6), (3, 7), (3, 13), (3, 15), (3, 16), (3, 17), (3, 19), (3, 34), (4, 6), (4, 7), (4, 9), (4, 10), (4, 21), (5, 10), (5, 11), (5, 27), (5, 38), (6, 7), (6, 8), (6, 10), (6, 11), (6, 18), (6, 21), (6, 25), (6, 30), (7, 8), (7, 9), (7, 10), (7, 12), (7, 15), (7, 20), (7, 21), (7, 24), (7, 27), (8, 9), (8, 10), (8, 14), (8, 23), (8, 24), (8, 25), (8, 31), (8, 34), (9, 10), (9, 14), (9, 18), (9, 23), (9, 24), (9, 26), (9, 27), (10, 12), (10, 13), (10, 14), (10, 17), (10, 31), (10, 40), (11, 13), (11, 15), (11, 19), (11, 21), (11, 23), (12, 13), (12, 15), (12, 30), (13, 16), (13, 17), (13, 32), (14, 22), (14, 29), (15, 17), (15, 20), (15, 21), (15, 23), (15, 24), (15, 32), (15, 33), (16, 18), (16, 33), (16, 42), (17, 18), (17, 19), (17, 20), (17, 21), (17, 30), (17, 33), (17, 41), (18, 19), (18, 27), (19, 21), (19, 27), (19, 31), (20, 36), (21, 24), (21, 32), (21, 39), (22, 23), (22, 24), (22, 25), (22, 28), (22, 30), (22, 34), (23, 26), (25, 32), (27, 28), (27, 29), (28, 30), (28, 34), (29, 31), (30, 31), (31, 32), (38, 39)"
graph_7,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 17), (0, 18), (0, 19), (0, 20), (0, 22), (0, 26), (0, 29), (0, 39), (1, 4), (1, 5), (1, 8), (1, 10), (1, 11), (1, 16), (1, 28), (2, 4), (2, 5), (2, 7), (2, 10), (2, 14), (2, 15), (2, 19), (2, 25), (2, 26), (2, 30), (3, 5), (3, 6), (3, 16), (3, 25), (4, 7), (4, 9), (4, 17), (4, 19), (4, 22), (4, 25), (5, 7), (5, 8), (5, 13), (5, 18), (5, 24), (5, 37), (6, 7), (6, 11), (6, 13), (6, 15), (6, 17), (6, 25), (7, 8), (7, 9), (7, 10), (7, 12), (7, 14), (7, 17), (7, 37), (8, 10), (8, 12), (8, 25), (8, 27), (8, 29), (9, 10), (9, 12), (9, 13), (9, 16), (9, 17), (9, 20), (9, 25), (9, 29), (10, 11), (10, 20), (10, 23), (10, 24), (10, 29), (11, 12), (11, 16), (11, 21), (11, 23), (12, 13), (12, 15), (12, 17), (12, 25), (12, 30), (13, 14), (13, 21), (13, 26), (13, 27), (13, 29), (14, 15), (14, 17), (14, 23), (14, 43), (15, 16), (15, 17), (15, 18), (15, 22), (15, 24), (15, 27), (15, 30), (16, 18), (16, 21), (16, 24), (16, 26), (16, 30), (16, 42), (17, 18), (17, 21), (17, 40), (18, 24), (18, 38), (19, 20), (19, 23), (19, 27), (20, 21), (20, 23), (21, 31), (22, 25), (22, 27), (22, 31), (22, 32), (23, 39), (24, 25), (24, 35), (25, 32), (26, 35), (26, 38), (27, 34), (28, 38), (30, 31), (31, 40), (33, 41), (36, 37), (40, 41), (41, 43)"
graph_8,"(0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 19), (0, 21), (0, 22), (0, 24), (0, 25), (0, 30), (0, 34), (1, 4), (1, 5), (1, 8), (1, 9), (1, 16), (1, 23), (1, 28), (2, 3), (2, 4), (2, 5), (2, 8), (2, 9), (2, 14), (2, 19), (2, 25), (3, 6), (3, 10), (3, 11), (3, 13), (3, 21), (4, 7), (4, 8), (4, 13), (4, 15), (4, 17), (5, 7), (5, 9), (5, 10), (5, 11), (5, 13), (5, 15), (5, 17), (5, 25), (5, 26), (5, 27), (6, 9), (6, 12), (6, 20), (6, 23), (7, 11), (7, 13), (7, 16), (7, 33), (7, 39), (7, 40), (8, 9), (8, 10), (8, 17), (8, 19), (8, 20), (8, 21), (8, 27), (8, 36), (9, 15), (9, 28), (9, 35), (10, 12), (10, 42), (11, 13), (11, 15), (11, 17), (11, 20), (11, 21), (11, 23), (11, 24), (12, 15), (12, 17), (12, 19), (12, 20), (13, 14), (13, 18), (13, 21), (13, 27), (13, 37), (14, 16), (14, 17), (14, 19), (14, 23), (14, 25), (14, 26), (14, 27), (15, 16), (15, 18), (16, 18), (16, 38), (17, 19), (17, 24), (17, 37), (18, 20), (18, 22), (18, 25), (18, 28), (19, 21), (19, 22), (19, 25), (19, 28), (19, 40), (21, 25), (21, 30), (22, 41), (23, 25), (24, 29), (24, 32), (25, 26), (26, 30), (26, 31), (27, 29), (27, 34), (27, 39), (28, 37), (29, 31), (29, 41), (29, 43), (30, 32), (30, 33), (30, 37), (31, 32), (31, 36), (31, 37), (32, 38), (33, 34), (34, 37)"
graph_9,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 15), (0, 17), (0, 18), (0, 20), (0, 21), (0, 22), (0, 35), (1, 2), (1, 8), (1, 17), (1, 26), (1, 30), (2, 3), (2, 4), (2, 5), (2, 6), (2, 8), (2, 13), (2, 19), (2, 21), (2, 25), (2, 28), (2, 36), (3, 4), (3, 9), (3, 10), (3, 13), (3, 16), (3, 19), (3, 33), (4, 5), (4, 7), (4, 8), (4, 9), (4, 12), (4, 17), (4, 18), (4, 36), (5, 8), (5, 20), (5, 25), (5, 33), (6, 7), (6, 11), (6, 12), (6, 16), (6, 19), (6, 20), (6, 24), (7, 9), (7, 10), (7, 12), (7, 13), (7, 15), (7, 16), (7, 17), (7, 29), (7, 31), (7, 32), (7, 37), (7, 38), (8, 10), (8, 15), (8, 20), (8, 24), (8, 26), (8, 28), (8, 38), (9, 14), (9, 15), (9, 19), (9, 31), (9, 35), (10, 12), (10, 17), (10, 27), (10, 28), (11, 13), (11, 25), (12, 16), (12, 18), (12, 21), (12, 36), (13, 17), (13, 29), (13, 32), (14, 16), (14, 19), (14, 22), (15, 18), (15, 19), (15, 23), (15, 25), (15, 29), (15, 30), (15, 31), (16, 17), (16, 18), (16, 21), (16, 22), (16, 37), (17, 19), (17, 20), (17, 21), (17, 25), (17, 29), (17, 30), (17, 35), (18, 28), (18, 29), (19, 22), (19, 25), (20, 25), (20, 32), (21, 38), (22, 24), (22, 30), (23, 25), (23, 26), (23, 30), (23, 42), (24, 29), (25, 35), (26, 31), (28, 29), (28, 31), (28, 39), (29, 33), (30, 31), (30, 39), (31, 32), (41, 42)"
